S&P500
FB
AIG
BXP
C
CFG
DAL
DISCA
DISCK
DXC
XOM
FITB
FLT
IPGP
LYB
MTB
MRO
OXY
PBCT
PVH
RJF
RTX
RCL
SLB
TDY
VTR
VIAC
VNO
QQQ
FB
IPO
FB

IPO
FB
